"Story","Title","Result","Date","Stability","Duration (s)"
"Flujo de Compra en SauceDemo","Completar flujo de compra con dos productos - <descripcion>","FAILURE","2026-05-06T00:22:47.1597648-05:00[America/Guayaquil]","0.0","40.24"
"Flujo de Compra en SauceDemo","Completar flujo de compra con dos productos - <descripcion>","FAILURE","2026-05-06T00:22:47.1597648-05:00[America/Guayaquil]","0.0","40.24"
"Flujo de Compra en SauceDemo","Completar flujo de compra con dos productos - <descripcion>","FAILURE","2026-05-06T00:22:47.1597648-05:00[America/Guayaquil]","0.0","40.24"
